Team,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Postseason
2015 Houston Astros,46,26.3,4.50,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,.250,.315,.437,.752,107,2383,102,56,28,43,22,1036,1
2015 Kansas City Royals,45,29.1,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,.269,.322,.412,.734,98,2298,133,77,34,47,28,1079,1
2015 Los Angeles Angels of Anaheim,51,28.7,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,.246,.307,.396,.702,97,2144,116,58,37,40,34,1013,0
2015 Los Angeles Dodgers,55,29.6,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,.250,.326,.413,.739,106,2222,135,60,49,30,31,1121,1
2015 Miami Marlins,51,27.9,3.78,162,5988,5463,613,1420,236,40,120,575,112,45,375,1150,.260,.310,.384,.694,93,2096,133,39,71,40,30,1059,0
2015 Milwaukee Brewers,49,28.1,4.04,162,6024,5480,655,1378,274,34,145,624,84,29,412,1299,.251,.307,.393,.700,91,2155,130,41,55,34,35,1026,0
2015 Minnesota Twins,44,28.2,4.30,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,.247,.305,.399,.704,92,2182,133,40,30,41,31,993,0
2015 New York Mets,49,28.6,4.22,162,6145,5527,683,1351,295,17,177,654,51,25,488,1290,.244,.312,.400,.712,96,2211,130,68,29,32,42,1098,1
2015 New York Yankees,56,31.4,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,.251,.323,.421,.744,102,2343,105,63,24,54,23,1151,1
2015 Oakland Athletics,52,27.9,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,.251,.312,.395,.707,96,2212,124,40,14,38,21,1102,0
2015 Philadelphia Phillies,50,28.0,3.86,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,.249,.303,.382,.684,89,2110,119,54,53,29,20,1066,0
2015 Pittsburgh Pirates,46,28.2,4.30,162,6285,5631,697,1462,292,27,140,661,98,45,461,1322,.260,.323,.396,.719,97,2228,115,89,63,41,46,1166,1
2015 San Diego Padres,46,27.7,4.01,162,6019,5457,650,1324,260,36,148,623,82,29,426,1327,.243,.300,.385,.685,91,2100,108,40,52,42,22,1028,0
2015 Seattle Mariners,51,28.6,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,.249,.311,.411,.722,101,2279,123,36,38,35,31,1080,0
2015 San Francisco Giants,48,28.9,4.30,162,6153,5565,696,1486,288,39,136,663,93,36,457,1159,.267,.326,.406,.732,101,2260,142,49,45,37,30,1130,0
2015 St. Louis Cardinals,46,28.4,3.99,162,6139,5484,647,1386,288,39,137,619,69,38,506,1267,.253,.321,.394,.716,95,2163,128,66,39,42,47,1152,1
2015 Tampa Bay Rays,51,28.5,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,.252,.314,.406,.720,100,2226,121,84,19,47,22,1075,0
2015 Texas Rangers,57,28.7,4.64,162,6187,5511,751,1419,279,32,172,707,101,39,503,1233,.257,.325,.413,.739,98,2278,99,76,43,54,32,1130,1
2015 Toronto Blue Jays,52,29.5,5.50,162,6232,5509,891,1480,308,17,232,852,88,23,570,1151,.269,.340,.457,.797,115,2518,140,54,36,62,12,1057,1
2015 Washington Nationals,44,28.4,4.34,162,6117,5428,703,1363,265,13,177,665,57,23,539,1344,.251,.321,.403,.724,96,2185,129,44,55,51,38,1114,0
2016 Arizona Diamondbacks,50,26.7,4.64,162,6260,5665,752,1479,285,56,190,709,137,31,463,1427,.261,.320,.432,.752,93,2446,117,50,43,38,43,1113,0
2016 Atlanta Braves,60,28.9,4.03,161,6192,5514,649,1404,295,27,122,615,75,34,502,1240,.255,.321,.384,.705,89,2119,145,59,64,52,60,1160,0
2016 Baltimore Orioles,47,28.5,4.59,162,6089,5524,744,1413,265,6,253,710,19,13,468,1324,.256,.317,.443,.760,101,2449,119,44,17,36,19,1065,1
2016 Boston Red Sox,50,28.5,5.42,162,6320,5670,878,1598,343,25,208,836,83,24,558,1160,.282,.348,.461,.810,112,2615,137,43,8,40,34,1162,1
