name, Duration, W, L, ERA, G, GS, SV, IP, H, ER, BB, SO, WHIP
Drew Anderson, Last 7 Games, 0, 1, 40.50, 1, 0, 0, 1.1, 4, 6, 2, 2, 4.50
Drew Anderson, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Drew Anderson, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ian Anderson, Last 7 Games, 2, 0, 2.40, 3, 3, 0, 15.0, 9, 4, 7, 18, 1.07
Ian Anderson, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ian Anderson, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nick Anderson, Last 7 Games, 0, 0, 0.00, 7, 0, 3, 6.1, 2, 0, 1, 11, 0.47
Nick Anderson, Last 15 Games, 1, 0, 0.00, 12, 0, 4, 10.1, 4, 0, 2, 16, 0.58
Nick Anderson, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Shaun Anderson, Last 7 Games, 0, 0, 5.40, 7, 0, 0, 5.0, 5, 3, 6, 2, 2.20
Shaun Anderson, Last 15 Games, 0, 0, 5.23, 13, 0, 0, 10.1, 8, 6, 11, 11, 1.84
Shaun Anderson, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tyler Anderson, Last 7 Games, 2, 2, 4.66, 7, 7, 0, 38.2, 37, 20, 11, 26, 1.24
Tyler Anderson, Last 15 Games, 2, 3, 4.50, 10, 8, 0, 46.0, 45, 23, 17, 30, 1.35
Tyler Anderson, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Andriese, Last 7 Games, 2, 1, 6.00, 7, 0, 0, 15.0, 12, 10, 7, 17, 1.27
Matt Andriese, Last 15 Games, 2, 2, 5.64, 9, 1, 0, 22.1, 19, 14, 11, 23, 1.34
Matt Andriese, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tejay Antone, Last 7 Games, 0, 1, 2.57, 7, 3, 0, 21.0, 12, 6, 10, 28, 1.05
Tejay Antone, Last 15 Games, 0, 1, 2.49, 8, 3, 0, 25.1, 13, 7, 11, 33, 0.95
Tejay Antone, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Shawn Armstrong, Last 7 Games, 2, 0, 3.52, 7, 0, 0, 7.2, 6, 3, 2, 6, 1.04
Shawn Armstrong, Last 15 Games, 2, 0, 2.19, 11, 0, 0, 12.1, 8, 3, 3, 12, 0.89
Shawn Armstrong, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jake Arrieta, Last 7 Games, 3, 4, 5.67, 7, 7, 0, 33.1, 38, 21, 11, 25, 1.47
Jake Arrieta, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jake Arrieta, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Luis Avilán, Last 7 Games, 0, 0, 4.76, 7, 0, 0, 5.2, 8, 3, 4, 5, 2.12
Luis Avilán, Last 15 Games, 0, 0, 4.32, 10, 0, 0, 8.1, 9, 4, 5, 9, 1.68
Luis Avilán, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dakota Bacus, Last 7 Games, 0, 0, 12.86, 7, 0, 0, 7.0, 12, 10, 9, 3, 3.00
Dakota Bacus, Last 15 Games, 0, 0, 7.94, 11, 0, 0, 11.1, 14, 10, 9, 7, 2.03
Dakota Bacus, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Michel Baez, Last 7 Games, 0, 0, 7.71, 3, 1, 0, 4.2, 7, 4, 2, 7, 1.93
Michel Baez, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Michel Baez, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brandon Bailey, Last 7 Games, 0, 0, 2.45, 5, 0, 0, 7.1, 6, 2, 3, 4, 1.23
Brandon Bailey, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brandon Bailey, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Homer Bailey, Last 7 Games, 1, 0, 3.60, 1, 1, 0, 5.0, 4, 2, 2, 4, 1.20
