name, Duration, W, L, ERA, G, GS, SV, IP, H, ER, BB, SO, WHIP
Anthony Castro, Last 7 Games, 0, 0, 18.00, 1, 0, 0, 1.0, 1, 2, 1, 1, 2.00
Anthony Castro, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Anthony Castro, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Miguel Castro, Last 7 Games, 0, 1, 6.75, 4, 0, 0, 4.0, 6, 3, 3, 2, 2.25
Miguel Castro, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Miguel Castro, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dylan Cease, Last 7 Games, 4, 1, 2.63, 7, 7, 0, 37.2, 28, 11, 19, 25, 1.25
Dylan Cease, Last 15 Games, 5, 2, 3.33, 9, 9, 0, 46.0, 40, 17, 20, 30, 1.30
Dylan Cease, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Luis Cessa, Last 7 Games, 0, 0, 2.16, 7, 0, 1, 8.1, 5, 2, 3, 6, 0.96
Luis Cessa, Last 15 Games, 0, 0, 2.81, 12, 0, 1, 16.0, 12, 5, 3, 14, 0.94
Luis Cessa, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jhoulys Chacín, Last 7 Games, 1, 0, 7.20, 2, 0, 0, 5.0, 6, 4, 3, 3, 1.80
Jhoulys Chacín, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jhoulys Chacín, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Andrew Chafin, Last 7 Games, 1, 0, 3.60, 7, 0, 0, 5.0, 7, 2, 0, 7, 1.40
Andrew Chafin, Last 15 Games, 1, 1, 8.10, 11, 0, 0, 6.2, 9, 6, 4, 10, 1.95
Andrew Chafin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tyler Chatwood, Last 7 Games, 2, 2, 5.30, 5, 5, 0, 18.2, 22, 11, 9, 25, 1.66
Tyler Chatwood, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tyler Chatwood, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Aroldis Chapman, Last 7 Games, 1, 1, 6.00, 7, 0, 1, 6.0, 5, 4, 3, 10, 1.33
Aroldis Chapman, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Aroldis Chapman, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jesse Chavez, Last 7 Games, 0, 0, 9.95, 7, 0, 0, 6.1, 8, 7, 4, 7, 1.89
Jesse Chavez, Last 15 Games, 0, 0, 7.62, 14, 0, 0, 13.0, 16, 11, 5, 11, 1.62
Jesse Chavez, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Yonny Chirinos, Last 7 Games, 0, 0, 2.38, 3, 3, 0, 11.1, 14, 3, 4, 10, 1.59
Yonny Chirinos, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Yonny Chirinos, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Adam Cimber, Last 7 Games, 0, 1, 7.20, 7, 0, 0, 5.0, 10, 4, 0, 2, 2.00
Adam Cimber, Last 15 Games, 0, 1, 4.22, 13, 0, 0, 10.2, 13, 5, 1, 5, 1.31
Adam Cimber, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Steve Cishek, Last 7 Games, 0, 0, 2.70, 7, 0, 0, 6.2, 5, 2, 3, 10, 1.20
Steve Cishek, Last 15 Games, 0, 0, 5.40, 15, 0, 0, 13.1, 13, 8, 6, 14, 1.43
Steve Cishek, Last 30 Games, 0, 0, 5.51, 19, 0, 0, 16.1, 17, 10, 7, 17, 1.47
José Cisnero, Last 7 Games, 0, 1, 7.94, 7, 0, 0, 5.2, 9, 5, 2, 7, 1.94
José Cisnero, Last 15 Games, 0, 1, 3.77, 15, 0, 0, 14.1, 12, 6, 6, 16, 1.26
José Cisnero, Last 30 Games, 1, 2, 3.43, 21, 0, 0, 21.0, 19, 8, 7, 23, 1.24
Aaron Civale, Last 7 Games, 2, 4, 3.72, 7, 7, 0, 46.0, 43, 19, 8, 40, 1.11
Aaron Civale, Last 15 Games, 3, 4, 3.63, 8, 8, 0, 52.0, 50, 21, 9, 49, 1.13
Aaron Civale, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Taylor Clarke, Last 7 Games, 1, 0, 3.80, 7, 4, 0, 23.2, 21, 10, 14, 24, 1.48
Taylor Clarke, Last 15 Games, 1, 0, 3.51, 10, 4, 0, 33.1, 23, 13, 17, 32, 1.20
Taylor Clarke, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Alex Claudio, Last 7 Games, 0, 0, 7.11, 7, 0, 0, 6.1, 8, 5, 2, 5, 1.58
Alex Claudio, Last 15 Games, 0, 0, 4.61, 14, 0, 1, 13.2, 13, 7, 4, 9, 1.24
Alex Claudio, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Mike Clevinger, Last 7 Games, 1, 1, 4.91, 2, 2, 0, 11.0, 12, 6, 2, 10, 1.27
Mike Clevinger, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Mike Clevinger, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tyler Clippard, Last 7 Games, 1, 0, 2.70, 7, 0, 0, 6.2, 6, 2, 1, 8, 1.05
Tyler Clippard, Last 15 Games, 1, 0, 2.35, 15, 2, 0, 15.1, 12, 4, 2, 17, 0.91
Tyler Clippard, Last 30 Games, 1, 0, 1.96, 18, 2, 0, 18.1, 14, 4, 3, 19, 0.93
Alex Cobb, Last 7 Games, 1, 3, 4.33, 7, 7, 0, 35.1, 35, 17, 12, 24, 1.33
Alex Cobb, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Alex Cobb, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Cody, Last 7 Games, 0, 1, 0.93, 5, 2, 0, 9.2, 5, 1, 8, 11, 1.34
Kyle Cody, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Cody, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
A.J. Cole, Last 7 Games, 1, 0, 5.68, 7, 0, 0, 6.1, 5, 4, 3, 4, 1.26
A.J. Cole, Last 15 Games, 2, 0, 2.93, 15, 0, 1, 15.1, 12, 5, 7, 11, 1.24
A.J. Cole, Last 30 Games, 2, 0, 2.33, 19, 0, 1, 19.1, 14, 5, 7, 14, 1.09
Gerrit Cole, Last 7 Games, 2, 3, 3.79, 7, 7, 0, 40.1, 38, 17, 11, 58, 1.21
Gerrit Cole, Last 15 Games, 4, 3, 3.63, 9, 9, 0, 52.0, 43, 21, 14, 70, 1.10
Gerrit Cole, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sam Coonrod, Last 7 Games, 0, 1, 9.53, 7, 0, 2, 5.2, 5, 6, 2, 5, 1.24
Sam Coonrod, Last 15 Games, 0, 1, 8.10, 12, 0, 2, 10.0, 9, 9, 5, 8, 1.40
Sam Coonrod, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Patrick Corbin, Last 7 Games, 2, 4, 4.81, 7, 7, 0, 39.1, 50, 21, 15, 34, 1.65
Patrick Corbin, Last 15 Games, 2, 4, 4.34, 8, 8, 0, 45.2, 52, 22, 15, 42, 1.47
Patrick Corbin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jimmy Cordero, Last 7 Games, 0, 1, 11.81, 7, 0, 0, 5.1, 10, 7, 2, 6, 2.25
Jimmy Cordero, Last 15 Games, 0, 2, 6.92, 15, 0, 0, 13.0, 19, 10, 3, 12, 1.69
Jimmy Cordero, Last 30 Games, 0, 2, 6.23, 21, 0, 0, 17.1, 23, 12, 5, 16, 1.62
Nestor Cortes, Last 7 Games, 0, 1, 15.26, 5, 1, 0, 7.2, 12, 13, 6, 8, 2.35
Nestor Cortes, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nestor Cortes, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Danny Coulombe, Last 7 Games, 0, 0, 0.00, 2, 0, 0, 2.2, 2, 0, 3, 3, 1.88
Danny Coulombe, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Danny Coulombe, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dylan Covey, Last 7 Games, 0, 0, 7.11, 4, 0, 0, 6.1, 8, 5, 0, 4, 1.26
Dylan Covey, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dylan Covey, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Stefan Crichton, Last 7 Games, 0, 2, 7.11, 7, 0, 0, 6.1, 10, 5, 4, 6, 2.21
Stefan Crichton, Last 15 Games, 2, 2, 3.63, 15, 0, 0, 17.1, 19, 7, 8, 15, 1.56
Stefan Crichton, Last 30 Games, 2, 2, 3.00, 20, 0, 0, 21.0, 22, 7, 9, 21, 1.48
Kyle Crick, Last 7 Games, 0, 1, 0.00, 6, 0, 0, 5.0, 5, 0, 2, 6, 1.40
Kyle Crick, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Crick, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nabil Crismatt, Last 7 Games, 0, 0, 0.00, 2, 0, 0, 2.1, 1, 0, 1, 3, 0.86
Nabil Crismatt, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nabil Crismatt, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Wil Crowe, Last 7 Games, 0, 1, 7.50, 2, 2, 0, 6.0, 10, 5, 6, 5, 2.67
Wil Crowe, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Wil Crowe, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jesus Cruz, Last 7 Games, 0, 0, 18.00, 1, 0, 0, 1.0, 3, 2, 1, 2, 4.00
Jesus Cruz, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jesus Cruz, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Johnny Cueto, Last 7 Games, 2, 0, 4.31, 7, 7, 0, 39.2, 32, 19, 15, 39, 1.18
Johnny Cueto, Last 15 Games, 2, 0, 4.56, 9, 9, 0, 47.1, 41, 24, 19, 46, 1.27
Johnny Cueto, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
John Curtiss, Last 7 Games, 2, 0, 0.96, 7, 1, 1, 9.1, 8, 1, 2, 9, 1.07
John Curtiss, Last 15 Games, 3, 0, 1.72, 10, 1, 1, 15.2, 13, 3, 2, 16, 0.96
John Curtiss, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Yu Darvish, Last 7 Games, 6, 1, 1.57, 7, 7, 0, 46.0, 30, 8, 10, 60, 0.87
Yu Darvish, Last 15 Games, 7, 2, 1.77, 9, 9, 0, 56.0, 38, 11, 11, 72, 0.88
Yu Darvish, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zach Davies, Last 7 Games, 6, 1, 2.03, 7, 7, 0, 44.1, 28, 10, 14, 43, 0.95
Zach Davies, Last 15 Games, 7, 2, 2.48, 9, 9, 0, 54.1, 37, 15, 15, 50, 0.96
Zach Davies, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Austin Davis, Last 7 Games, 0, 0, 21.00, 4, 0, 0, 3.0, 10, 7, 1, 2, 3.67
Austin Davis, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Austin Davis, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Wade Davis, Last 7 Games, 0, 1, 16.88, 3, 0, 2, 2.2, 3, 5, 3, 1, 2.25
Wade Davis, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Wade Davis, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Grant Dayton, Last 7 Games, 1, 0, 2.31, 7, 0, 0, 11.2, 10, 3, 2, 10, 1.03
Grant Dayton, Last 15 Games, 2, 0, 2.25, 13, 0, 0, 20.0, 18, 5, 4, 22, 1.10
Grant Dayton, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jacob deGrom, Last 7 Games, 3, 1, 1.88, 7, 7, 0, 43.0, 30, 9, 10, 62, 0.93
Jacob deGrom, Last 15 Games, 3, 1, 1.69, 8, 8, 0, 48.0, 31, 9, 11, 70, 0.88
Jacob deGrom, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
José De León, Last 7 Games, 0, 0, 27.00, 3, 0, 0, 4.0, 5, 12, 8, 8, 3.25
José De León, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
José De León, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Miguel Del Pozo, Last 7 Games, 0, 0, 17.18, 5, 0, 0, 3.2, 7, 7, 8, 2, 4.09
Miguel Del Pozo, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Miguel Del Pozo, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Anthony DeSclafani, Last 7 Games, 1, 2, 7.20, 6, 6, 0, 25.0, 30, 20, 14, 16, 1.76
Anthony DeSclafani, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Anthony DeSclafani, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ross Detwiler, Last 7 Games, 0, 1, 3.86, 7, 0, 0, 7.0, 10, 3, 2, 7, 1.71
Ross Detwiler, Last 15 Games, 1, 1, 1.56, 14, 0, 0, 17.1, 14, 3, 2, 14, 0.92
Ross Detwiler, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Chris Devenski, Last 7 Games, 0, 1, 14.73, 4, 0, 0, 3.2, 7, 6, 3, 5, 2.73
Chris Devenski, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Chris Devenski, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jairo Díaz, Last 7 Games, 1, 1, 14.85, 7, 0, 0, 6.2, 14, 11, 4, 5, 2.70
Jairo Díaz, Last 15 Games, 1, 1, 9.45, 15, 0, 3, 13.1, 25, 14, 10, 12, 2.63
Jairo Díaz, Last 30 Games, 1, 1, 8.22, 17, 0, 3, 15.1, 26, 14, 10, 14, 2.35
Phillip Diehl, Last 7 Games, 0, 0, 10.50, 6, 0, 0, 6.0, 7, 7, 1, 4, 1.33
Phillip Diehl, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Phillip Diehl, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jake Diekman, Last 7 Games, 0, 0, 0.00, 7, 0, 0, 7.2, 4, 0, 5, 10, 1.17
Jake Diekman, Last 15 Games, 0, 0, 0.00, 15, 0, 0, 15.0, 6, 0, 10, 21, 1.07
Jake Diekman, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Randy Dobnak, Last 7 Games, 5, 2, 4.32, 7, 7, 0, 33.1, 36, 16, 8, 16, 1.32
Randy Dobnak, Last 15 Games, 6, 3, 3.61, 9, 9, 0, 42.1, 42, 17, 12, 23, 1.28
Randy Dobnak, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Rafael Dolis, Last 7 Games, 2, 0, 0.00, 7, 0, 2, 7.1, 2, 0, 3, 10, 0.68
Rafael Dolis, Last 15 Games, 2, 1, 1.76, 15, 0, 3, 15.1, 9, 3, 8, 20, 1.11
Rafael Dolis, Last 30 Games, 2, 1, 1.77, 20, 0, 3, 20.1, 13, 4, 11, 24, 1.18
Sean Doolittle, Last 7 Games, 0, 1, 4.76, 7, 0, 0, 5.2, 5, 3, 2, 5, 1.24
Sean Doolittle, Last 15 Games, 0, 2, 6.14, 10, 0, 0, 7.1, 9, 5, 4, 6, 1.77
Sean Doolittle, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Oliver Drake, Last 7 Games, 0, 2, 3.38, 5, 0, 2, 5.1, 3, 2, 3, 4, 1.13
Oliver Drake, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Oliver Drake, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Danny Duffy, Last 7 Games, 3, 2, 3.86, 7, 7, 0, 37.1, 32, 16, 18, 37, 1.34
Danny Duffy, Last 15 Games, 3, 3, 4.24, 9, 9, 0, 46.2, 38, 22, 19, 47, 1.22
Danny Duffy, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tyler Duffey, Last 7 Games, 0, 1, 4.70, 7, 0, 0, 7.2, 6, 4, 4, 10, 1.30
Tyler Duffey, Last 15 Games, 1, 1, 2.30, 15, 0, 0, 15.2, 9, 4, 4, 20, 0.83
Tyler Duffey, Last 30 Games, 1, 1, 2.16, 16, 0, 0, 16.2, 10, 4, 4, 22, 0.84
Robert Dugger, Last 7 Games, 0, 0, 16.62, 2, 1, 0, 4.1, 11, 8, 2, 2, 3.00
Robert Dugger, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Robert Dugger, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Justin Dunn, Last 7 Games, 3, 1, 4.09, 7, 7, 0, 33.0, 22, 15, 20, 25, 1.27
Justin Dunn, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Justin Dunn, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dane Dunning, Last 7 Games, 1, 0, 2.70, 4, 4, 0, 20.0, 13, 6, 7, 21, 1.00
Dane Dunning, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dane Dunning, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Carl Edwards Jr., Last 7 Games, 0, 0, 1.93, 5, 0, 1, 4.2, 2, 1, 1, 6, 0.64
Carl Edwards Jr., Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Carl Edwards Jr., Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zach Eflin, Last 7 Games, 2, 1, 4.58, 7, 7, 0, 37.1, 41, 19, 9, 48, 1.34
Zach Eflin, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zach Eflin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Seth Elledge, Last 7 Games, 1, 0, 4.50, 5, 0, 0, 6.0, 4, 3, 6, 8, 1.67
Seth Elledge, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Seth Elledge, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nathan Eovaldi, Last 7 Games, 2, 2, 4.98, 6, 6, 0, 34.1, 39, 19, 6, 33, 1.31
Nathan Eovaldi, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nathan Eovaldi, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Robbie Erlin, Last 7 Games, 0, 0, 0.00, 1, 0, 0, 2.0, 2, 0, 1, 3, 1.50
Robbie Erlin, Last 15 Games, 0, 0, 5.40, 2, 0, 0, 3.1, 5, 2, 1, 4, 1.80
Robbie Erlin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Carlos Estévez, Last 7 Games, 0, 2, 15.00, 7, 0, 0, 6.0, 13, 10, 1, 8, 2.33
Carlos Estévez, Last 15 Games, 1, 2, 8.16, 15, 0, 1, 14.1, 21, 13, 3, 16, 1.67
Carlos Estévez, Last 30 Games, 1, 2, 6.41, 20, 0, 1, 19.2, 26, 14, 5, 20, 1.58
Jeurys Familia, Last 7 Games, 1, 0, 1.23, 7, 0, 0, 7.1, 5, 1, 4, 4, 1.23
Jeurys Familia, Last 15 Games, 2, 0, 3.38, 15, 0, 0, 16.0, 12, 6, 12, 13, 1.50
Jeurys Familia, Last 30 Games, 2, 0, 3.66, 19, 0, 0, 19.2, 15, 8, 13, 16, 1.42
Buck Farmer, Last 7 Games, 0, 0, 7.71, 7, 0, 0, 7.0, 8, 6, 1, 5, 1.29
Buck Farmer, Last 15 Games, 1, 0, 5.02, 15, 0, 0, 14.1, 14, 8, 4, 8, 1.26
Buck Farmer, Last 30 Games, 1, 0, 4.70, 16, 0, 0, 15.1, 14, 8, 4, 8, 1.17
Luke Farrell, Last 7 Games, 0, 0, 13.50, 3, 0, 0, 3.1, 5, 5, 4, 6, 2.70
Luke Farrell, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Luke Farrell, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Erick Fedde, Last 7 Games, 1, 3, 5.72, 7, 4, 0, 28.1, 31, 18, 14, 9, 1.59
Erick Fedde, Last 15 Games, 1, 3, 5.29, 8, 5, 0, 32.1, 35, 19, 15, 12, 1.55
Erick Fedde, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Caleb Ferguson, Last 7 Games, 1, 1, 7.50, 7, 1, 0, 6.0, 11, 5, 1, 9, 2.00
Caleb Ferguson, Last 15 Games, 2, 1, 3.95, 15, 1, 0, 13.2, 15, 6, 3, 20, 1.32
Caleb Ferguson, Last 30 Games, 2, 1, 3.12, 19, 1, 0, 17.1, 16, 6, 3, 25, 1.10
Michael Feliz, Last 7 Games, 0, 0, 32.40, 3, 0, 0, 1.2, 4, 6, 2, 2, 3.60
Michael Feliz, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Michael Feliz, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Junior Fernández, Last 7 Games, 0, 0, 27.00, 2, 0, 0, 2.0, 6, 6, 2, 2, 4.00
Junior Fernández, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Junior Fernández, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
J.P. Feyereisen, Last 7 Games, 0, 0, 5.68, 4, 0, 0, 6.1, 3, 4, 4, 5, 1.11
J.P. Feyereisen, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
J.P. Feyereisen, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Mike Fiers, Last 7 Games, 4, 2, 4.50, 7, 7, 0, 38.0, 40, 19, 13, 25, 1.39
Mike Fiers, Last 15 Games, 4, 2, 4.93, 8, 8, 0, 42.0, 47, 23, 13, 25, 1.43
Mike Fiers, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Finnegan, Last 7 Games, 0, 0, 14.40, 7, 0, 0, 5.0, 7, 8, 7, 7, 2.80
Kyle Finnegan, Last 15 Games, 1, 0, 5.68, 15, 0, 0, 12.2, 11, 8, 9, 16, 1.58
Kyle Finnegan, Last 30 Games, 1, 0, 4.70, 17, 0, 0, 15.1, 12, 8, 9, 17, 1.37
Jack Flaherty, Last 7 Games, 2, 1, 2.95, 5, 5, 0, 21.1, 15, 7, 6, 21, 0.98
Jack Flaherty, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jack Flaherty, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Josh Fleming, Last 7 Games, 3, 0, 3.52, 3, 3, 0, 15.1, 14, 6, 2, 11, 1.04
Josh Fleming, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Josh Fleming, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Aaron Fletcher, Last 7 Games, 0, 0, 12.46, 6, 0, 0, 4.1, 7, 6, 7, 7, 3.23
Aaron Fletcher, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Aaron Fletcher, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dylan Floro, Last 7 Games, 0, 0, 2.70, 7, 0, 0, 6.2, 7, 2, 3, 3, 1.50
Dylan Floro, Last 15 Games, 1, 0, 1.76, 15, 0, 0, 15.1, 17, 3, 3, 10, 1.30
Dylan Floro, Last 30 Games, 1, 0, 1.42, 19, 0, 0, 19.0, 17, 3, 4, 13, 1.11
Wilmer Font, Last 7 Games, 0, 1, 7.36, 7, 0, 0, 7.1, 10, 6, 3, 7, 1.77
Wilmer Font, Last 15 Games, 1, 3, 9.00, 15, 0, 0, 12.0, 19, 12, 4, 12, 1.92
Wilmer Font, Last 30 Games, 1, 3, 8.78, 17, 0, 0, 13.1, 22, 13, 4, 14, 1.95
Mike Foltynewicz, Last 7 Games, 0, 1, 16.20, 1, 1, 0, 3.1, 4, 6, 4, 3, 2.40
Mike Foltynewicz, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Mike Foltynewicz, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Foster, Last 7 Games, 2, 0, 4.26, 7, 0, 0, 6.1, 7, 3, 2, 6, 1.42
Matt Foster, Last 15 Games, 4, 0, 1.45, 15, 2, 0, 18.2, 10, 3, 5, 23, 0.80
Matt Foster, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Freeland, Last 7 Games, 0, 1, 4.26, 7, 7, 0, 38.0, 48, 18, 10, 25, 1.53
Kyle Freeland, Last 15 Games, 2, 1, 3.60, 9, 9, 0, 50.0, 54, 20, 14, 34, 1.36
Kyle Freeland, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sam Freeman, Last 7 Games, 0, 0, 1.80, 7, 0, 0, 5.0, 2, 1, 7, 6, 1.80
Sam Freeman, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sam Freeman, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Max Fried, Last 7 Games, 5, 0, 1.88, 7, 7, 0, 38.1, 31, 8, 14, 35, 1.17
Max Fried, Last 15 Games, 6, 0, 1.98, 9, 9, 0, 50.0, 36, 11, 17, 47, 1.06
Max Fried, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Paul Fry, Last 7 Games, 0, 0, 2.08, 7, 0, 0, 8.2, 10, 2, 2, 11, 1.38
Paul Fry, Last 15 Games, 1, 0, 2.16, 15, 0, 0, 16.2, 17, 4, 4, 21, 1.26
Paul Fry, Last 30 Games, 1, 0, 2.55, 17, 0, 0, 17.2, 20, 5, 4, 22, 1.36
Carson Fulmer, Last 7 Games, 0, 0, 6.75, 7, 0, 0, 6.2, 8, 5, 3, 7, 1.65
Carson Fulmer, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Carson Fulmer, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Michael Fulmer, Last 7 Games, 0, 1, 8.24, 7, 7, 0, 19.2, 28, 18, 10, 17, 1.93
Michael Fulmer, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Michael Fulmer, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Funkhouser, Last 7 Games, 1, 0, 4.66, 7, 0, 0, 9.2, 9, 5, 6, 7, 1.55
Kyle Funkhouser, Last 15 Games, 1, 1, 7.27, 13, 0, 0, 17.1, 22, 14, 11, 12, 1.90
Kyle Funkhouser, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Giovanny Gallegos, Last 7 Games, 0, 1, 2.70, 7, 0, 3, 6.2, 3, 2, 2, 7, 0.75
Giovanny Gallegos, Last 15 Games, 1, 1, 1.59, 12, 0, 4, 11.1, 4, 2, 2, 14, 0.53
Giovanny Gallegos, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
